dataset,avg_accuracy,overall_accuracy,kappa,training_time,testing_time,total_time
,80.820,92.593,91.520,38.77710509300232,0.10161995887756348,38.77710509300232
,86.853,91.033,89.800,39.24530911445618,0.10181450843811035,39.24530911445618
,89.543,93.177,92.167,39.49238967895508,0.10048866271972656,39.49238967895508
,80.644,91.033,89.812,39.76995396614075,0.1001291275024414,39.76995396614075
,89.077,93.372,92.425,39.380948305130005,0.09954595565795898,39.380948305130005
,82.352,91.618,90.423,39.60887551307678,0.09961414337158203,39.60887551307678
,85.584,92.008,90.892,39.8254029750824,0.09995555877685547,39.8254029750824
,91.169,95.906,95.324,39.755735635757446,0.10137295722961426,39.755735635757446
,81.147,93.567,92.631,39.74487566947937,0.09986734390258789,39.74487566947937
,84.621,92.008,90.847,39.768081188201904,0.0995020866394043,39.768081188201904
,84.341,95.322,94.653,39.512359619140625,0.09958457946777344,39.512359619140625
,72.988,89.084,87.541,40.25555682182312,0.09955358505249023,40.25555682182312
,88.680,93.762,92.876,40.425607204437256,0.10177111625671387,40.425607204437256
,80.527,92.982,91.960,40.09682035446167,0.10169792175292969,40.09682035446167
,87.835,90.643,89.366,40.26544260978699,0.09962821006774902,40.26544260978699
,82.352,91.618,90.423,40.658103227615356,0.10039210319519043,40.658103227615356
,87.616,93.372,92.394,40.61106586456299,0.10019874572753906,40.61106586456299
,84.278,95.517,94.887,40.870627641677856,0.10152792930603027,40.870627641677856
,79.714,92.788,91.750,40.26574373245239,0.1009669303894043,40.26574373245239
,79.450,93.957,93.073,40.47601795196533,0.10291481018066406,40.47601795196533
,74.140,90.643,89.313,40.9345440864563,0.10011816024780273,40.9345440864563
,84.131,94.542,93.764,40.79689288139343,0.09976911544799805,40.79689288139343
,88.680,93.762,92.876,41.11582970619202,0.10045313835144043,41.11582970619202
,89.298,95.906,95.330,40.9295289516449,0.0992574691772461,40.9295289516449
,82.352,91.618,90.423,40.68304443359375,0.09661197662353516,40.68304443359375
,88.554,92.203,91.141,41.01728630065918,0.1009976863861084,41.01728630065918
mean,84.14513333333333333333,92.93693333333333333333,91.93383333333333333333,39.28970766862233513333,.10023585160573323533,39.28970766862233513333
std dev.,4.28751503580129993020,1.62985800881208326468,1.85443677133756406994,2.42319644326488373236,.00166056152773337489,2.42319644326488373236
,84.14513333333333333333 +- 4.28751503580129993020,92.93693333333333333333 +- 1.62985800881208326468,91.93383333333333333333 +- 1.85443677133756406994,39.28970766862233513333 +- 2.42319644326488373236,.10023585160573323533 +- .00166056152773337489,39.28970766862233513333 +- 2.42319644326488373236
 
 
SA_org,
,99.942,99.926,99.918,44.90911507606506,0.3483729362487793,44.90911507606506
,99.953,99.963,99.959,42.97936034202576,0.34606409072875977,42.97936034202576
,99.907,99.926,99.918,43.690170764923096,0.3468139171600342,43.690170764923096
,99.978,99.926,99.918,42.84457850456238,0.3467848300933838,42.84457850456238
,100.000,100.000,100.000,44.61372375488281,0.344928503036499,44.61372375488281
,100.000,100.000,100.000,43.78566575050354,0.35160374641418457,43.78566575050354
,99.953,99.963,99.959,44.56512689590454,0.3450641632080078,44.56512689590454
,100.000,100.000,100.000,44.57339572906494,0.3470346927642822,44.57339572906494
,99.953,99.963,99.959,43.97155141830444,0.34485745429992676,43.97155141830444
,100.000,100.000,100.000,44.8853657245636,0.344635009765625,44.8853657245636
,99.953,99.963,99.959,44.13778877258301,0.34398579597473145,44.13778877258301
,99.953,99.963,99.959,43.59330630302429,0.3470335006713867,43.59330630302429
,100.000,100.000,100.000,43.90774488449097,0.34514617919921875,43.90774488449097
,100.000,100.000,100.000,44.28365516662598,0.3458261489868164,44.28365516662598
,99.911,99.963,99.959,44.728490114212036,0.35132384300231934,44.728490114212036
,100.000,100.000,100.000,44.652766942977905,0.34595704078674316,44.652766942977905
,99.953,99.963,99.959,44.320746421813965,0.3475644588470459,44.320746421813965
,100.000,100.000,100.000,44.48347520828247,0.34639430046081543,44.48347520828247
,100.000,100.000,100.000,44.06136870384216,0.3467404842376709,44.06136870384216
,99.953,99.963,99.959,44.64218282699585,0.34637928009033203,44.64218282699585
,99.907,99.926,99.918,43.258814573287964,0.3506340980529785,43.258814573287964
,100.000,100.000,100.000,44.08692169189453,0.3453695774078369,44.08692169189453
,100.000,100.000,100.000,43.94022822380066,0.3454594612121582,43.94022822380066
,99.953,99.963,99.959,43.96700358390808,0.3482024669647217,43.96700358390808
,99.907,99.926,99.918,44.668118715286255,0.3526778221130371,44.668118715286255
,99.989,99.963,99.959,43.37874460220337,0.3446826934814453,43.37874460220337
,100.000,100.000,100.000,44.59085965156555,0.35062193870544434,44.59085965156555
,100.000,100.000,100.000,44.79089283943176,0.35242557525634766,44.79089283943176
,100.000,100.000,100.000,44.68653655052185,0.34923529624938965,44.68653655052185
,100.000,100.000,100.000,44.12585115432739,0.3457467555999756,44.12585115432739
mean,99.97216666666666666666,99.97533333333333333333,99.97266666666666666666,44.17078502972920703333,.34725220203399658033,44.17078502972920703333
std dev.,.03279642595703921439,.02757817172249740615,.03055959569249712570,.55130915223296172918,.00246027354886941382,.55130915223296172918
,99.97216666666666666666 +- .03279642595703921439,99.97533333333333333333 +- .02757817172249740615,99.97266666666666666666 +- .03055959569249712570,44.17078502972920703333 +- .55130915223296172918,.34725220203399658033 +- .00246027354886941382,44.17078502972920703333 +- .55130915223296172918
 
 
